,num_quote,quote_subjectivity,quote_polarity
204f5d99-c9de-4bce-ae2f-5e98085b4930,0.0,,
0526bd0d-41bb-43fe-bdc9-dabeea9dcfaa,8.0,0.1282986111111111,0.0484375
33e5aa3f-af33-461d-9e51-16a552e6b985,16.0,0.3996212121212121,-0.03167613636363636
d10f9f69-204a-422d-886d-ff59f787fe22,,,
88ffc85f-b495-4f59-af53-08a92030f9b7,,,
6c0221c9-f3c9-4f6b-800e-685e75b317c1,3.0,0.022222222222222223,0.011111111111111112
e10be83f-75b7-40f8-b041-5bbb9f3f6d77,5.0,0.09666666666666666,0.045
d65803ad-3800-4a16-b02b-fef589314fab,12.0,0.3772850529100529,-0.045109126984126995
c0823b0b-16ee-46e3-955e-1bfd50300c3e,,,
7cc09e87-92e3-48c6-aa65-f96fe480f2b0,7.0,0.29235449735449737,0.022103174603174604
648f5cc1-57dd-4d8c-b469-c7a483b757c0,4.0,0.49021464646464646,-0.10467171717171718
76277377-7d93-4648-85df-e1a8c85f4371,4.0,0.0,0.0
d83d1629-0ad8-4842-a119-1888c52e0ffe,6.0,0.3143518518518518,0.0849074074074074
0ecc3b60-bbfd-4fc8-94ae-b61db36ef844,0.0,,
a8972b89-ebf8-4068-ab57-7185e434cd4f,,,
2a9193ff-b83f-4f12-9c79-df6b2657390e,8.0,0.1282986111111111,0.0484375
3b47013f-1efd-4943-9beb-6d8efbcd84cc,16.0,0.3996212121212121,-0.03167613636363636
fe1fd947-77aa-41b0-ad55-e36f48ff7743,,,
2234eb84-74d5-492c-9207-fa59ebf70810,,,
d8e4eef4-689d-4189-8563-c5d8e49f512f,3.0,0.022222222222222223,0.011111111111111112
ef15db3b-0ecf-4ffe-8842-9fe183f419ca,5.0,0.09666666666666666,0.045
20883cb5-089c-4d90-bb51-36d671c772a9,12.0,0.3772850529100529,-0.045109126984126995
5a8f6734-d5c5-4306-9b1d-72ad00975d88,,,
0d4cfcb5-78af-4458-a9b5-68eaadeb3049,7.0,0.29235449735449737,0.022103174603174604
7a06cdff-be95-4622-9b26-8a0ebd74a02e,4.0,0.49021464646464646,-0.10467171717171718
9df42ab1-4770-4c39-84ef-88eb2715b4a9,4.0,0.0,0.0
8b5ca667-80c6-49f5-8de0-aa61958f42bb,6.0,0.3143518518518518,0.0849074074074074
1fa55ad3-1c54-408e-a6a7-255f73d98b23,0.0,,
4cb848b7-e74b-4d58-826a-ab6b5ff70caa,,,
bc72a392-77e8-47c2-9f1b-c7b98dd856db,8.0,0.1282986111111111,0.0484375
f994687c-7d20-4632-96f6-6e2b3d72e34b,16.0,0.3996212121212121,-0.03167613636363636
7d0274a8-65d9-421a-9cec-ca0668bea630,,,
7bd67981-580b-436b-8996-225b823c429e,,,
bc0df4c6-0850-4673-995a-4ac1ca78b817,3.0,0.022222222222222223,0.011111111111111112
ff19a51e-9e63-462a-a1f6-e32de5323d8f,5.0,0.09666666666666666,0.045
760ce152-b54f-4052-bbd8-36d08e682260,12.0,0.3772850529100529,-0.045109126984126995
c97b8b64-a9d3-4c8b-8781-47100915dbc3,,,
dc11bf50-4dcd-4e0d-b915-7fc99b9f81f9,7.0,0.29235449735449737,0.022103174603174604
1476ee29-17c8-4544-84da-5e5ab563048f,4.0,0.49021464646464646,-0.10467171717171718
5e0f2b00-d4d3-4082-a4fc-b0f08d9709c0,4.0,0.0,0.0
d8ba09fe-3875-4965-b229-ca0af324ad74,6.0,0.3143518518518518,0.0849074074074074
819aca4e-eb18-4013-9780-705717ee1148,0.0,,
301f29e1-37d5-4866-b6ff-f0b0a1b0b401,,,
0c135c94-e648-4c12-83d8-65b5a6abfe65,8.0,0.1282986111111111,0.0484375
33365794-d238-4ed9-83ce-49cc575ce3e8,16.0,0.3996212121212121,-0.03167613636363636
77af0c9b-e91f-466d-83a2-4fad0726328a,,,
b1e6ac85-feac-4a5e-b233-feee04735478,,,
f4945f8a-725f-4b3f-a54a-00947ed87dfd,3.0,0.022222222222222223,0.011111111111111112
31f4173d-ac29-4706-a0f2-fe3df5f5de2e,5.0,0.09666666666666666,0.045
88d81331-b38e-4a39-a9eb-910a9e5ac01c,12.0,0.3772850529100529,-0.045109126984126995
cb478259-846c-4f96-9dd5-16cff5666f94,,,
92dcaf76-a3a8-4a5b-be2b-c2e08f7ace82,7.0,0.29235449735449737,0.022103174603174604
159347c8-e24d-4c08-ae8a-19ca1bd0ef1d,4.0,0.49021464646464646,-0.10467171717171718
7fcf016b-75e4-4fd6-bf2e-b8bfea93c4ff,4.0,0.0,0.0
0363b842-6eae-43b9-9d4a-8152d6ae1c02,6.0,0.3143518518518518,0.0849074074074074
47c67776-6842-46cd-a413-7d31b8054f1a,0.0,,
1876b066-5ab7-43cd-98cb-b0500b09d21d,,,
10679bad-8640-47bf-bfd7-6d3d9db5ead8,8.0,0.1282986111111111,0.0484375
d51440db-b706-41bc-9593-1773ec091cc4,16.0,0.3996212121212121,-0.03167613636363636
